mode,duration_us,sm_throughput_pct,memory_throughput_pct,dram_throughput_pct,l1tex_throughput_pct,l2_throughput_pct,issue_slots_busy_pct,achieved_occupancy_pct,eligible_warps_per_scheduler,active_warps_per_scheduler,warp_cycles_per_issued_instruction,regs_per_thread,dynamic_smem_per_block_kb,executed_ipc_active,executed_instructions
v6,79.97,67.98,86.88,67.15,87.05,27.17,68.11,49.88,2.44,5.99,8.79,65.0,18.43,2.72,24248844288.0
v8,68.33,65.54,84.8,39.71,85.48,16.81,66.07,33.19,2.0,3.98,6.03,126.0,36.86,2.64,19976192000.0
