shape,baseline_tflops,best_user,best_user_tflops,ratio_pct,baseline_ms,best_user_ms
1024x1024x1024,16.3657,v6,12.3437,75.42421039124511,0.131218,0.173974
2048x2048x2048,21.4181,v8,14.6769,68.52568621866553,0.80212,1.17054
4096x4096x4096,21.7234,v8,16.9368,77.9656959776094,6.32676,8.11482
8192x8192x8192,22.707,v8,17.6896,77.90373012727352,48.4217,62.1557
